ku_id,type,canonical_name,name_en,source_task,created,updated,card_path
units/persons/pietro-antonio-novelli,person,皮埃特罗·安东尼奥·诺韦利,Pietro Antonio Novelli,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/pietro-antonio-novelli.md
units/persons/pietro-bernini,person,彼得罗·贝尔尼尼,Pietro Bernini,chp-1,2026-09-25,2026-09-25,04-knowledge/units/persons/pietro-bernini.md
units/persons/pietro-da-cortona,person,皮耶特罗·达·科尔托纳,Pietro da Cortona,,2026-09-09,2026-09-14,04-knowledge/units/persons/pietro-da-cortona.md
units/persons/pietro-di-pietri,person,皮埃特罗·安东尼奥·德·彼得里,Pietro Antonio De Petri,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/pietro-di-pietri.md
units/persons/pietro-mulier,person,皮耶特罗·穆利耶尔,Pietro Mulier,,2026-09-09,2026-09-14,04-knowledge/units/persons/pietro-mulier.md
units/persons/pietro-ottoboni,person,彼得罗·奥托博尼,Pietro Ottoboni,,2026-09-09,2026-09-14,04-knowledge/units/persons/pietro-ottoboni.md
units/persons/pietro-testa,person,皮埃特罗·泰斯塔,Pietro Testa,chp-1,2026-09-14,2026-09-25,04-knowledge/units/persons/pietro-testa.md
units/persons/pittoni,person,乔瓦尼·巴蒂斯塔·皮托尼,Giovanni Battista Pittoni,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/pittoni.md
units/persons/pompeo-batoni,person,蓬佩奥·吉罗拉莫·巴托尼,Pompeo Girolamo Batoni,,,,04-knowledge/units/persons/pompeo-batoni.md
units/persons/prospero-orsi,person,普罗斯佩罗·奥尔西,Prospero Orsi,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/prospero-orsi.md
units/persons/r-b-fleming,person,R. B. 弗莱明,R. B. Fleming,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/r-b-fleming.md
units/persons/raimondo-buonaccorsi,person,雷蒙多·布奥纳科尔西,Raimondo Buonaccorsi,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/raimondo-buonaccorsi.md
units/persons/ralph-bankes-1631-1677,person,拉尔夫·班克斯爵士,Sir Ralph Bankes,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/ralph-bankes-1631-1677.md
units/persons/ralph-bankes,person,亨利·约翰·拉尔夫·班克斯,Henry John Ralph Bankes,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/ralph-bankes.md
units/persons/raphael,person,拉斐尔,Raphael,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/raphael.md
units/persons/rembrandt,person,伦勃朗,Rembrandt,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/rembrandt.md
units/persons/ribera,person,胡塞佩·德·里贝拉,Jusepe de Ribera,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/ribera.md
units/persons/robert-enggass,person,罗伯特·恩加斯,Robert Enggass,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/robert-enggass.md
units/persons/romanelli,person,乔万尼·弗朗切斯科·罗马内利,Giovanni Francesco Romanelli,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/romanelli.md
units/persons/rudolf-wittkower,person,鲁道夫·维特科尔,Rudolf Wittkower,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/rudolf-wittkower.md
units/persons/salvator-rosa,person,萨尔瓦多·罗萨,Salvator Rosa,,2026-09-09,2026-09-14,04-knowledge/units/persons/salvator-rosa.md
units/persons/sassoferrato,person,乔万尼·巴蒂斯塔·萨尔维,Giovanni Battista Salvi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/sassoferrato.md
units/persons/saverio-savini,person,萨尔维奥·萨维尼,Salvio Savini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/saverio-savini.md
units/persons/sebastiano-conca,person,塞巴斯蒂亚诺·孔卡,Sebastiano Conca,,2026-09-14,2026-09-14,04-knowledge/units/persons/sebastiano-conca.md
units/persons/sebastiano-ricci,person,塞巴斯蒂亚诺·里奇,Sebastiano Ricci,,2026-09-09,2026-09-14,04-knowledge/units/persons/sebastiano-ricci.md
units/persons/sigismund-streit,person,西吉斯蒙德·施特赖特,Sigismund Streit,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/sigismund-streit.md
units/persons/simone-peterzano,person,西莫内·彼得扎诺,Simone Peterzano,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/simone-peterzano.md
units/persons/simonelli,person,尼科洛·西莫内利,Niccolò Simonelli,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/simonelli.md
units/persons/sixtus-v,person,西斯笃五世,Sixtus V,,2026-09-09,2026-09-14,04-knowledge/units/persons/sixtus-v.md
units/persons/solimena,person,弗朗切斯科·索利梅纳,Francesco Solimena,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/solimena.md
units/persons/stefano-conti,person,斯特凡诺·孔蒂,Stefano Conti,front-matter,2026-09-15,2026-09-15,04-knowledge/units/persons/stefano-conti.md
units/persons/tarquinio-salvi,person,塔尔奎尼奥·萨尔维,Tarquinio Salvi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/tarquinio-salvi.md
units/persons/teodoro-correr,person,泰奥多罗·科雷尔,Teodoro Correr,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/teodoro-correr.md
units/persons/terisio-pignatti,person,泰里西奥·皮尼亚蒂,Terisio Pignatti,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/terisio-pignatti.md
units/persons/thomas-baines,person,托马斯·贝恩斯,Thomas Baines,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/thomas-baines.md
units/persons/thomas-baker,person,托马斯·贝克,Thomas Baker,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/thomas-baker.md
units/persons/thomas-isham,person,托马斯·伊舍姆,Thomas Isham,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/thomas-isham.md
units/persons/tiberio-cerasi,person,蒂贝里奥·切拉西,Tiberio Cerasi,chp-1,2026-09-13,2026-09-14,04-knowledge/units/persons/tiberio-cerasi.md
units/persons/titian,person,提香,Titian,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/titian.md
units/persons/tommaso-chiari,person,托马索·基亚里,Tommaso Chiari,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/tommaso-chiari.md
units/persons/tommaso-fontana,person,托马索·丰塔纳,Tommaso Fontana,chp-1,2026-09-25,2026-09-25,04-knowledge/units/persons/tommaso-fontana.md
units/persons/torquato-tasso,person,托尔夸托·塔索,Torquato Tasso,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/torquato-tasso.md
units/persons/urbano-viii,person,乌尔班八世,Urban VIII,,2026-09-09,2026-09-14,04-knowledge/units/persons/urbano-viii.md
units/persons/valentin,person,瓦朗坦·德·布洛涅,Valentin de Boulogne,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/valentin.md
units/persons/van-dyck,person,安东尼·范·戴克,Anthony van Dyck,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/van-dyck.md
units/persons/velasquez,person,迭戈·委拉斯开兹,Diego Velázquez,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/velasquez.md
units/persons/ventura-carrara,person,文图拉·卡拉拉伯爵,Count Ventura Carrara,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/ventura-carrara.md
units/persons/vincenzo-armanni-ch1,person,温琴佐·阿尔曼尼,Vincenzo Armanni,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/vincenzo-armanni-ch1.md
units/persons/virgil,person,维吉尔,Virgil,chp-1,2026-09-09,2026-09-14,04-knowledge/units/persons/virgil.md
units/persons/virgilio-spada,person,维尔吉利奥·斯帕达,Virgilio Spada,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/virgilio-spada.md
units/persons/vitale-bloch,person,维塔莱·布洛赫,Vitale Bloch,front-matter,2026-09-14,2026-09-15,04-knowledge/units/persons/vitale-bloch.md
units/persons/vittoria-di-lutio-loli,person,维托里娅·迪·卢蒂奥·洛利,Vittoria di Lutio Loli,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/vittoria-di-lutio-loli.md
units/persons/viviano-codazzi,person,维维亚诺·科达齐,Viviano Codazzi,front-matter,2026-09-13,2026-09-15,04-knowledge/units/persons/viviano-codazzi.md
units/persons/watkin-williams-wynn,person,沃特金·威廉斯-温,Watkin Williams-Wynn,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/watkin-williams-wynn.md
units/persons/william-john-bankes,person,威廉·约翰·班克斯,William John Bankes,front-matter,2026-09-14,2026-09-14,04-knowledge/units/persons/william-john-bankes.md
units/persons/zaccaria-sagredo,person,扎卡里亚·萨格雷多,Zaccaria Sagredo,front-matter,2026-09-14,2026-09-25,04-knowledge/units/persons/zaccaria-sagredo.md
units/places/alnwick-castle,place,阿尼克城堡,Alnwick Castle,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/alnwick-castle.md
units/places/augusta-sicily,place,奥古斯塔（西西里）,"Augusta, Sicily",chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/augusta-sicily.md
units/places/badminton,place,巴德明顿,Badminton,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/badminton.md
units/places/barberini-chapel-sant-andrea-valle,place,谷地圣安德烈堂巴贝里尼礼拜堂,Barberini Chapel,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/barberini-chapel-sant-andrea-valle.md
units/places/belvoir-castle,place,贝尔沃城堡,Belvoir Castle,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/belvoir-castle.md
units/places/berlin,place,柏林,Berlin,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/berlin.md
units/places/bologna,place,博洛尼亚,Bologna,,2026-09-09,2026-09-14,04-knowledge/units/places/bologna.md
units/places/ca-pesaro,place,佩萨罗宫,Ca' Pesaro,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/ca-pesaro.md
units/places/ca-rezzonico,place,雷佐尼科宫,Ca' Rezzonico,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/ca-rezzonico.md
units/places/cambridge,place,剑桥,Cambridge,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/cambridge.md
units/places/camposanto-pisa,place,比萨坎波桑托,"Camposanto, Pisa",front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/camposanto-pisa.md
units/places/cappella-delci-santa-sabina,place,埃尔奇小堂,"Cappella d’Elci, Santa Sabina",front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/cappella-delci-santa-sabina.md
units/places/capuchin-church-rome,place,罗马嘉布遣会教堂,Capuchin Church in Rome,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/capuchin-church-rome.md
units/places/castello-sforzesco,place,斯福尔扎城堡,Castello Sforzesco,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/castello-sforzesco.md
units/places/castle-howard,place,霍华德城堡,Castle Howard,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/castle-howard.md
units/places/cerasi-chapel,place,切拉西礼拜堂,Cerasi Chapel,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/cerasi-chapel.md
units/places/chiesa-de-servi-bologna,place,博洛尼亚塞尔维教堂,"Chiesa de' Servi, Bologna",chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/chiesa-de-servi-bologna.md
units/places/chiesa-nuova,place,罗马新教堂,"Chiesa Nuova, Rome",chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/chiesa-nuova.md
units/places/chiesa-san-nicola-dei-lorenesi,place,洛林人圣尼古拉堂,San Nicola dei Lorenesi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/chiesa-san-nicola-dei-lorenesi.md
units/places/china,place,中国,China,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/china.md
units/places/chiesa-san-gregorio-messina,place,墨西拿圣额我略堂,"Church of San Gregorio, Messina",chp-1,2026-09-25,2026-09-25,04-knowledge/units/places/chiesa-san-gregorio-messina.md
units/places/church-of-s-rocco,place,圣洛克堂（威尼斯）,Church of S. Rocco,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/church-of-s-rocco.md
units/places/church-of-the-frari,place,弗拉里教堂,Church of the Frari,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/church-of-the-frari.md
units/places/cologne,place,科隆,Cologne,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/cologne.md
units/places/contarelli-chapel,place,孔塔雷利礼拜堂,Contarelli Chapel,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/contarelli-chapel.md
units/places/cortona,place,科尔托纳,Cortona,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/cortona.md
units/places/delphi,place,德尔斐,Delphi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/delphi.md
units/places/edinburgh,place,爱丁堡,Edinburgh,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/edinburgh.md
units/places/egypt,place,埃及,Egypt,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/egypt.md
units/places/england,place,英格兰,England,,,,04-knowledge/units/places/england.md
units/places/europe,place,欧洲,Europe,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/europe.md
units/places/florence,place,佛罗伦萨,Florence,,2026-09-09,2026-09-14,04-knowledge/units/places/florence.md
units/places/galerie-mazarin,place,马扎然画廊,Galerie Mazarine,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/galerie-mazarin.md
units/places/gallery-palazzo-buonaccorsi,place,布奥纳科尔西宫画廊,Gallery of Palazzo Buonaccorsi,front-matter,2026-09-14,2026-09-15,04-knowledge/units/places/gallery-palazzo-buonaccorsi.md
units/places/genoa,place,热那亚,Genoa,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/genoa.md
units/places/gesu-rome,place,罗马耶稣堂,"Gesù, Rome",chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/gesu-rome.md
units/places/gubbio,place,古比奥,Gubbio,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/gubbio.md
units/places/basilica-di-sant-ubaldo,place,圣乌巴尔多圣殿,Basilica of Sant'Ubaldo,chp-1,2026-09-25,2026-09-25,04-knowledge/units/places/basilica-di-sant-ubaldo.md
units/places/hampton-court-palace,place,汉普顿宫,Hampton Court Palace,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/hampton-court-palace.md
units/places/houston,place,休斯敦,Houston,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/houston.md
units/places/interior-sant-andrea-quirinale,place,奎里纳尔圣安德烈堂内部,Interior of S. Andrea al Quirinale,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/interior-sant-andrea-quirinale.md
units/places/italy,place,意大利,Italy,,2026-09-09,2026-09-14,04-knowledge/units/places/italy.md
units/places/kassel,place,卡塞尔,Kassel,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/kassel.md
units/places/kingston-lacy,place,金斯顿莱西庄园,Kingston Lacy,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/kingston-lacy.md
units/places/lamport-hall,place,兰波特庄园,Lamport Hall,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/lamport-hall.md
units/places/leeds,place,利兹,Leeds,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/leeds.md
units/places/liverpool,place,利物浦,Liverpool,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/liverpool.md
units/places/london,place,伦敦,London,,2026-09-09,2026-09-14,04-knowledge/units/places/london.md
units/places/lucca,place,卢卡,Lucca,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/lucca.md
units/places/macerata,place,马切拉塔,Macerata,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/macerata.md
units/places/madrid,place,马德里,Madrid,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/madrid.md
units/places/melbourne,place,墨尔本,Melbourne,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/melbourne.md
units/places/messina,place,墨西拿,Messina,chp-1,2026-09-25,2026-09-25,04-knowledge/units/places/messina.md
units/places/milan,place,米兰,Milan,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/milan.md
units/places/modena,place,摩德纳,Modena,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/modena.md
units/places/molfetta,place,莫尔费塔,Molfetta,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/molfetta.md
units/places/moor-park,place,穆尔公园庄园,Moor Park,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/moor-park.md
units/places/munich,place,慕尼黑,Munich,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/munich.md
units/places/naples-cathedral,place,那不勒斯主教座堂,Naples Cathedral,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/naples-cathedral.md
units/places/naples,place,那不勒斯,Naples,,2026-09-09,2026-09-14,04-knowledge/units/places/naples.md
units/places/new-haven,place,纽黑文,New Haven,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/new-haven.md
units/places/new-york,place,纽约,New York,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/new-york.md
units/places/oratory-san-lorenzo-palermo,place,巴勒莫圣洛伦佐祈祷堂,Oratory of San Lorenzo,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/oratory-san-lorenzo-palermo.md
units/places/oxford,place,牛津,Oxford,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/oxford.md
units/places/padua,place,帕多瓦,Padua,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/padua.md
units/places/paese,place,帕埃塞,Paese,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/paese.md
units/places/palais-mazarin,place,马扎然宫,Palais Mazarin,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palais-mazarin.md
units/places/palatinate,place,普法尔茨,Palatinate,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palatinate.md
units/places/palazzo-barberini,place,巴贝里尼宫,Palazzo Barberini,,2026-09-09,2026-09-14,04-knowledge/units/places/palazzo-barberini.md
units/places/palazzo-della-minerva,place,米涅瓦宫,Palazzo della Minerva,front-matter,2026-09-25,2026-09-25,04-knowledge/units/places/palazzo-della-minerva.md
units/places/palazzo-buonaccorsi,place,布奥纳科尔西宫,Palazzo Buonaccorsi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palazzo-buonaccorsi.md
units/places/palazzo-chigi-odescalchi,place,基吉—奥德斯卡尔基宫,Palazzo Chigi-Odescalchi,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/palazzo-chigi-odescalchi.md
units/places/palazzo-dei-conservatori,place,保守宫,Palazzo dei Conservatori,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palazzo-dei-conservatori.md
units/places/palazzo-doria-pamfili,place,多利亚潘菲利宫,Palazzo Doria-Pamfili,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/palazzo-doria-pamfili.md
units/places/palazzo-ducale,place,总督宫（威尼斯）,Palazzo Ducale,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palazzo-ducale.md
units/places/palazzo-pitti,place,皮蒂宫,Palazzo Pitti,,,,04-knowledge/units/places/palazzo-pitti.md
units/places/palazzo-spada,place,斯帕达宫,Palazzo Spada,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palazzo-spada.md
units/places/palazzo-venezia,place,威尼斯宫,Palazzo Venezia,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/palazzo-venezia.md
units/places/pamfili-country-house-valmontone,place,瓦尔蒙托内多利亚·潘菲利宫,"Palazzo Doria-Pamphilj, Valmontone",chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/pamfili-country-house-valmontone.md
units/places/paris,place,巴黎,Paris,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/paris.md
units/places/parma,place,帕尔马,Parma,,2026-09-09,2026-09-14,04-knowledge/units/places/parma.md
units/places/perugia,place,佩鲁贾,Perugia,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/perugia.md
units/places/piacenza,place,皮亚琴察,Piacenza,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/piacenza.md
units/places/piazza-di-spagna,place,西班牙广场,Piazza di Spagna,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/piazza-di-spagna.md
units/places/piazza-navona,place,纳沃纳广场,Piazza Navona,,2026-09-09,2026-09-14,04-knowledge/units/places/piazza-navona.md
units/places/pio-monte-della-misericordia-church,place,仁慈山会教堂,Church of Pio Monte della Misericordia,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/pio-monte-della-misericordia-church.md
units/places/pisa,place,比萨,Pisa,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/pisa.md
units/places/pistoia,place,皮斯托亚,Pistoia,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/pistoia.md
units/places/pittsburgh,place,匹兹堡,Pittsburgh,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/pittsburgh.md
units/places/poggio-a-caiano,place,波焦阿卡亚诺,Poggio a Caiano,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/poggio-a-caiano.md
units/places/pra-della-valle,place,Prà广场,Prà della Valle,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/pra-della-valle.md
units/places/princeton-new-jersey,place,普林斯顿,"Princeton, New Jersey",front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/princeton-new-jersey.md
units/places/raleigh,place,罗利,Raleigh,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/raleigh.md
units/places/residenz-wurzburg,place,维尔茨堡宫,"Residenz, Würzburg",front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/residenz-wurzburg.md
units/places/rome,place,罗马,Rome,,2026-09-09,2026-09-14,04-knowledge/units/places/rome.md
units/places/rotterdam,place,鹿特丹,Rotterdam,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/rotterdam.md
units/places/rovereto,place,罗韦雷托,Rovereto,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/rovereto.md
units/places/s-andrea-al-quirinale,place,奎里纳尔圣安德烈堂,S. Andrea al Quirinale,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/s-andrea-al-quirinale.md
units/places/s-ignazio,place,圣依纳爵堂（罗马）,S. Ignazio,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/s-ignazio.md
units/places/s-maria-del-giglio,place,百合圣母堂,S. Maria del Giglio,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/s-maria-del-giglio.md
units/places/s-sabina,place,圣撒比纳大殿,Santa Sabina all’Aventino,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/s-sabina.md
units/places/saint-martin-de-re,place,圣马丹德雷,Saint-Martin-de-Ré,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/saint-martin-de-re.md
units/places/san-clemente-rome,place,罗马圣克莱孟堂,"S. Clemente, Rome",front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/san-clemente-rome.md
units/places/san-luigi-dei-francesi,place,法国圣路易堂,San Luigi dei Francesi,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/san-luigi-dei-francesi.md
units/places/san-sebastiano-palatine,place,帕拉蒂尼山圣塞巴斯蒂安堂,S. Sebastiano on the Palatine,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/san-sebastiano-palatine.md
units/places/sant-agnese-piazza-navona,place,纳沃纳广场圣阿涅塞堂,S. Agnese in Piazza Navona,,2026-09-09,2026-09-14,04-knowledge/units/places/sant-agnese-piazza-navona.md
units/places/sant-agostino-rome,place,罗马圣奥古斯丁圣殿,Basilica of Saint Augustine in Campo Marzio,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/sant-agostino-rome.md
units/places/sant-andrea-della-valle,place,谷地圣安德烈堂,S. Andrea della Valle,,2026-09-09,2026-09-14,04-knowledge/units/places/sant-andrea-della-valle.md
units/places/sant-antonino-piacenza,place,皮亚琴察圣安托尼诺堂,"S. Antonino, Piacenza",,2026-09-09,2026-09-14,04-knowledge/units/places/sant-antonino-piacenza.md
units/places/santa-lucia-al-sepolcro,place,圣露西墓地圣殿,Santa Lucia al Sepolcro Sanctuary,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/santa-lucia-al-sepolcro.md
units/places/santa-maria-degli-angeli-messina,place,墨西拿天使圣母教堂,"Church of Santa Maria degli Angeli, Messina",chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/santa-maria-degli-angeli-messina.md
units/places/santa-maria-del-popolo,place,人民圣母堂,Santa Maria del Popolo,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/santa-maria-del-popolo.md
units/places/santa-maria-della-scala-rome,place,罗马阶梯圣母堂,"Santa Maria della Scala, Rome",chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/santa-maria-della-scala-rome.md
units/places/santa-maria-maggiore,place,圣母大殿,Santa Maria Maggiore,,2026-09-09,2026-09-14,04-knowledge/units/places/santa-maria-maggiore.md
units/places/santa-maria-sopra-minerva,place,米涅瓦圣母堂,Santa Maria sopra Minerva,,2026-09-09,2026-09-14,04-knowledge/units/places/santa-maria-sopra-minerva.md
units/places/sassoferrato,place,萨索费拉托,Sassoferrato,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/sassoferrato.md
units/places/savona,place,萨沃纳,Savona,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/savona.md
units/places/schloss-wilhelmshoehe,place,威廉高地宫,Wilhelmshöhe Palace,front-matter,2026-09-15,2026-09-15,04-knowledge/units/places/schloss-wilhelmshoehe.md
units/places/sicily,place,西西里,Sicily,,2026-09-09,2026-09-14,04-knowledge/units/places/sicily.md
units/places/spain,place,西班牙,Spain,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/spain.md
units/places/st-asaph,place,圣阿萨夫,St Asaph,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/st-asaph.md
units/places/st-johns-co-cathedral,place,圣约翰副主教座堂,St. John's Co-Cathedral,chp-1,2026-09-13,2026-09-14,04-knowledge/units/places/st-johns-co-cathedral.md
units/places/st-peters-basilica,place,圣彼得大殿,St Peter's Basilica,,2026-09-09,2026-09-14,04-knowledge/units/places/st-peters-basilica.md
units/places/stockholm,place,斯德哥尔摩,Stockholm,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/stockholm.md
units/places/stra,place,斯特拉,Stra,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/stra.md
units/places/stuttgart,place,斯图加特,Stuttgart,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/stuttgart.md
units/places/temple-newsam,place,坦普尔纽萨姆庄园,Temple Newsam,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/temple-newsam.md
units/places/theater-auf-der-cortina,place,科尔蒂纳剧院,Theater auf der Cortina,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/theater-auf-der-cortina.md
units/places/treviso,place,特雷维索,Treviso,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/treviso.md
units/places/tribuna-uffizi,place,乌菲齐特里布纳厅,Tribuna of the Uffizi,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/tribuna-uffizi.md
units/places/turin,place,都灵,Turin,chp-1,2026-09-09,2026-09-14,04-knowledge/units/places/turin.md
units/places/tuscany,place,托斯卡纳,Tuscany,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/tuscany.md
units/places/valmontone,place,瓦尔蒙托内,Valmontone,,2026-09-09,2026-09-14,04-knowledge/units/places/valmontone.md
units/places/veneto,place,威尼托,Veneto,front-matter,2026-09-14,2026-09-14,04-knowledge/units/places/veneto.md
